AT2G13840;
AT2G25490;
AT2G25530;
AT2G25420;
AT2G25430;
AT2G25510;
AT2G25355;
AT2G25450;
AT2G27310;
AT2G27285;
AT2G27290;
AT2G27228///AT2G27230;
AT2G14260;
AT2G20050;
AT2G20010;
AT2G20180;
AT2G20000;
AT2G19970;
AT2G20120///AT2G20130;
AT2G20060;
AT2G20020;
AT2G28020///AT2G28230;
AT2G28200;
AT2G28290;
AT2G28260;
AT2G05520;
AT2G05620;
AT2G05630;
AT2G05590;
AT2G06040;
AT2G06010;
AT2G06210;
AT2G06050;
AT2G15860;
AT2G15830;
AT2G15890;
AT2G15970;
AT2G15960;
AT2G15790;
AT2G15820;
AT2G15480;
AT2G15490;
AT2G15580;
AT2G15690;
AT2G15620;
AT2G46610;
AT2G46490;
AT2G46520;
AT2G46530;
AT2G46560;
AT2G46550;
AT2G46580;
AT2G46540;
AT2G46600;
AT2G37080;
AT2G37050;
AT2G37170///AT2G37180;
AT2G37190;
AT2G37110;
AT2G37120;
AT2G20920;
AT2G20780;
AT2G20740;
AT2G20740;
AT2G20710;
AT2G20680;
AT2G21045;
AT2G20960;
AT2G20940;
AT2G20890;
AT2G20930;
AT2G20810;
AT2G20860;
AT2G20725;
AT2G11000;
AT2G10940;
AT2G16630;
AT2G16640;
AT2G16650///AT5G60430;
AT2G16660;
AT2G16780;
AT2G16700;
AT2G16595;
AT2G16740;
AT2G16710;
AT2G16720;
AT2G06510;
AT2G06520;
AT2G06530;
AT2G05790;
AT2G18280;
AT2G18220;
AT2G18410;
AT2G18350;
AT2G18370;
AT2G18290;
AT2G18390;
AT2G18400;
AT2G18230;
AT2G18330;
AT2G18360;
AT2G18300;
AT2G22660;
AT2G22610;
AT2G22650;
AT2G22670;
AT2G22690;
AT2G14050;
AT2G13960///AT5G02320;
AT2G20340;
AT2G20320;
AT2G20300;
AT2G20290;
AT2G20280;
AT2G20240;
AT2G20400;
AT2G20410;
AT2G20260;
AT2G20270;
AT2G20390;
AT2G20330;
AT2G42900;
AT2G42960;
AT2G42910;
AT2G28360;
AT2G28350;
AT2G28450;
AT2G28400;
AT2G28410;
AT2G28330;
AT2G28370;
AT2G28380;
AT2G28430;
AT2G07698;
AT2G07707;
AT2G43040;
AT2G43060;
AT2G43050;
AT2G43030;
AT2G43010;
AT2G02050;
AT2G01970;
AT2G36720;
AT2G36730;
AT2G36790///AT2G36800;
AT2G36630;
AT2G36660;
AT2G36670;
AT1G05120;
AT1G05010;
AT1G23720;
AT1G23730;
AT1G23480;
AT1G23740;
AT1G23750;
AT1G23710;
AT1G23490///AT1G62020;
AT1G23800;
AT1G23780;
AT1G23760;
AT1G51360;
AT1G51390;
AT1G51170;
AT1G51380;
AT1G51400;
AT1G30960;
AT1G30900;
AT1G30970;
AT1G31010;
AT1G30880;
AT1G31070;
AT1G31020;
AT1G62610///AT1G63380;
AT1G62630///AT1G63360;
AT1G62510;
AT1G62660;
AT1G62570;
AT1G62640;
AT1G62560;
AT1G55480;
AT1G55450;
AT1G55490;
AT1G55460;
AT1G03820;
AT1G03770;
AT1G03960;
AT1G03910;
AT1G04020;
AT1G04010;
AT1G03870;
AT1G03850;
AT1G04080;
AT1G04040;
AT1G03900;
AT1G03950;
AT1G52050;
AT1G52100;
AT1G52150;
AT1G61640;
AT1G61520;
AT1G61620;
AT1G61570;
AT1G24510;
AT1G24440;
AT1G24450;
AT1G24625;
AT1G27050;
AT1G27090;
AT1G27150;
AT1G27130;
AT1G27030;
AT1G27200;
AT1G67300;
AT1G67230;
AT1G67330;
AT1G67350;
AT1G67360;
AT1G67320;
AT1G67280;
AT1G67340;
AT1G77020;
AT1G77080;
AT1G77120;
AT1G77060;
AT1G76920;
AT1G77000;
AT1G77090;
AT1G76950;
AT1G60600;
AT1G60560;
AT1G60610;
AT1G60690;
AT1G60770;
AT1G60550;
AT1G60650;
AT1G60830///AT1G60900;
AT1G60740///AT1G65970;
AT1G60620;
AT1G60670;
AT1G60490;
AT1G60710;
AT1G61100;
AT1G11180///AT1G61250;
AT1G61180///AT1G61190///AT1G61300///AT1G61310;
AT1G23120;
AT1G23180;
AT1G23140;
AT1G23040;
AT1G23100;
AT1G23220;
AT1G23205;
AT1G23130;
AT1G23080;
AT1G23090;
AT1G23060;
AT2G17280;
AT2G17440;
AT2G17300;
AT2G17410;
AT2G17410;
AT2G17380;
AT2G17290;
AT2G17450;
AT2G17370;
AT1G24170;
AT1G24190;
AT1G24310;
AT1G24120;
AT1G24150;
AT1G24090;
AT1G24350;
AT1G24240;
AT1G03560;
AT1G03530;
AT1G03475;
;
AT1G03687;
AT1G03730;
AT1G03600;
AT1G03630;
AT1G03440;
AT1G03740;
AT1G03680;
AT2G17900;
AT2G17840;
AT2G17880;
AT2G17870;
AT2G17820;
AT1G08620;
AT1G08660;
AT1G08550;
AT1G08800;
AT1G08840;
AT1G08560;
AT1G08580;
AT1G08590;
AT1G08600;
AT1G08610;
AT1G08700;
AT1G08770;
AT1G08750;
AT1G08640;
AT1G08780;
AT1G08570;
AT1G08540;
AT1G08810;
AT1G61280;
AT1G61450;
AT1G61350;
AT1G23030;
AT1G22890;
AT1G22880;
AT1G22870;
AT1G23020;
AT1G23010;
AT1G22970;
AT1G22885;
AT1G22985;
AT1G22840;
AT1G22850;
AT1G62150;
AT1G62250;
AT1G62290;
AT1G62130;
AT1G62180;
AT1G62300;
AT1G70150;
AT1G70180;
AT1G70140;
AT1G70060;
AT1G70230;
AT1G70200;
AT1G69980///AT5G62690;
AT1G70100;
AT1G70190;
AT1G09620;
AT1G09730;
AT1G09740;
AT1G09770;
AT1G09840;
AT1G09850;
AT1G09900;
AT1G09910;
AT1G09960;
AT1G09970;
AT1G09660;
AT1G09660;
AT1G09980///AT1G58350;
AT1G09630;
AT1G09920;
AT1G09750;
AT1G09795;
AT1G09815;
AT1G09830;
AT1G09870;
AT1G09760;
AT1G09590///AT1G09690;
AT1G65510;
AT1G65610;
AT1G65520;
AT1G65540;
AT1G65470;
AT1G65660;
AT1G65490;
AT1G65560;
AT1G65650;
AT1G09130;
AT1G08970;
AT1G08920;
AT1G08980;
AT1G08890///AT1G08900;
AT1G09070;
AT1G09100;
AT1G08930;
AT1G04750;
AT1G04620;
AT1G04610;
AT1G04730;
AT1G04700;
AT1G04550;
AT1G04690;
AT1G04530;
AT1G04680;
AT1G04640;
AT1G04590;
AT2G17700;
AT2G17790;
AT2G17730;
AT2G17710;
AT2G17670;
